Team,W,L,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,DRB%,Opp FT/FGA
Milwaukee Bucks*,56,17,112.4,102.9,.552,12.9,20.7,.201,.489,12.0,81.6,.178
Los Angeles Clippers*,49,23,113.9,107.6,.535,12.6,23.5,.233,.506,12.2,77.6,.206
Los Angeles Lakers*,52,19,112.0,106.3,.542,13.3,24.5,.201,.515,14.1,78.8,.205
Toronto Raptors*,53,19,111.1,105.0,.536,13.1,21.3,.210,.502,14.6,76.7,.202
Boston Celtics*,48,24,113.3,107.0,.531,12.2,23.9,.207,.509,13.5,77.4,.215
Dallas Mavericks*,43,32,116.7,111.7,.545,11.2,23.2,.206,.525,10.6,77.7,.175
Houston Rockets*,44,28,112.9,110.1,.537,12.6,21.0,.228,.529,13.7,75.6,.197
Miami Heat*,44,29,112.5,109.5,.547,13.5,20.3,.234,.523,12.6,79.5,.213
Utah Jazz*,44,28,112.3,109.9,.549,13.7,21.6,.208,.518,11.1,78.9,.185
Denver Nuggets*,46,27,113.1,111.0,.535,12.3,24.8,.183,.533,12.9,76.8,.198
Oklahoma City Thunder*,44,28,110.8,108.8,.530,12.4,19.3,.231,.518,12.6,76.8,.173
Philadelphia 76ers*,43,30,111.3,109.0,.534,12.7,23.9,.193,.523,12.5,80.3,.214
Indiana Pacers*,45,28,110.0,108.0,.534,12.0,20.0,.170,.511,13.0,76.7,.192
Phoenix Suns,34,39,111.7,111.4,.532,13.0,22.2,.226,.539,13.7,78.8,.221
New Orleans Pelicans,30,42,110.7,111.9,.539,13.9,24.2,.186,.532,12.4,77.8,.212
Portland Trail Blazers*,35,39,113.7,114.8,.533,11.2,22.4,.194,.530,11.2,75.3,.208
San Antonio Spurs,32,39,112.4,113.5,.531,11.2,20.1,.212,.542,11.7,79.2,.193
Memphis Grizzlies,34,39,109.2,110.3,.528,13.2,23.0,.183,.521,12.7,77.8,.217
Orlando Magic*,33,40,108.5,109.5,.506,11.5,22.3,.198,.535,13.2,79.1,.176
Brooklyn Nets*,35,37,108.9,109.5,.520,13.1,23.2,.199,.511,11.0,77.8,.187
Sacramento Kings,31,41,110.2,112.2,.534,13.0,21.9,.177,.543,13.6,78.4,.225
Chicago Bulls,22,43,106.7,109.8,.515,13.7,22.8,.175,.546,16.3,75.6,.239
Minnesota Timberwolves,19,45,108.1,112.2,.514,13.0,22.1,.209,.541,13.2,77.2,.218
Detroit Pistons,20,46,109.0,112.7,.529,13.8,22.6,.194,.541,12.7,75.9,.186
Washington Wizards,25,47,110.9,115.5,.523,12.2,22.2,.213,.558,13.9,75.3,.231
New York Knicks,21,45,106.5,113.0,.501,12.6,25.8,.182,.541,12.4,78.3,.224
Charlotte Hornets,23,42,106.3,113.3,.504,13.3,23.9,.188,.546,13.1,74.4,.159
Atlanta Hawks,20,47,107.2,114.8,.515,13.8,21.6,.204,.543,12.7,74.9,.233
Cleveland Cavaliers,19,46,107.5,115.4,.522,14.6,24.6,.172,.560,11.7,77.4,.164
Golden State Warriors,15,50,105.2,113.8,.497,13.2,21.5,.212,.553,13.7,76.4,.193
