Today,Team,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,DRB%,Opp FT/FGA
"07/05/2021, 13:07:56",Golden State Warriors,59.0,14.2,21.0,0.224,49.3,13.2,73.1,0.258
"07/05/2021, 13:07:56",Miami Heat,60.3,12.9,24.5,0.230,58.3,14.1,77.3,0.262
"07/05/2021, 13:07:56",Milwaukee Bucks,56.4,11.7,26.5,0.264,55.4,11.7,75.1,0.219
"07/05/2021, 13:07:56",Philadelphia 76ers,54.5,12.4,27.0,0.252,51.3,15.6,70.8,0.244
"07/05/2021, 13:07:56",Portland Trail Blazers,58.3,9.6,25.4,0.258,52.4,11.0,75.3,0.237
"07/05/2021, 13:07:56",Atlanta Hawks,56.0,12.8,27.0,0.279,52.9,10.9,74.9,0.208
"07/05/2021, 13:07:56",Dallas Mavericks,56.2,12.4,28.2,0.237,54.4,13.6,71.1,0.271
"07/05/2021, 13:07:56",New York Knicks,53.1,10.8,18.7,0.216,48.4,13.3,71.4,0.243
"07/05/2021, 13:07:56",Phoenix Suns,58.3,10.1,23.4,0.237,56.0,13.5,72.8,0.266
"07/05/2021, 13:07:56",Utah Jazz,56.3,15.5,29.1,0.233,52.3,11.4,77.4,0.182
"07/05/2021, 13:07:56",Brooklyn Nets,58.1,12.2,21.2,0.257,51.2,10.9,70.9,0.231
"07/05/2021, 13:07:56",Denver Nuggets,53.3,13.1,30.1,0.230,55.2,14.6,75.6,0.303
"07/05/2021, 13:07:56",Los Angeles Lakers,52.6,14.9,27.8,0.302,53.8,14.8,75.9,0.275
"07/05/2021, 13:07:56",Memphis Grizzlies,53.7,14.4,33.4,0.257,52.7,12.6,71.3,0.227
"07/05/2021, 13:07:56",Sacramento Kings,53.7,14.1,25.3,0.198,50.6,16.1,70.5,0.287
"07/05/2021, 13:07:56",Washington Wizards,53.8,11.4,27.7,0.295,54.1,14.3,72.9,0.277
"07/05/2021, 13:07:56",Chicago Bulls,52.5,12.9,27.3,0.178,52.9,13.1,77.1,0.259
"07/05/2021, 13:07:56",Indiana Pacers,57.8,13.5,24.7,0.211,51.3,12.5,69.9,0.257
"07/05/2021, 13:07:56",Minnesota Timberwolves,54.8,13.1,29.6,0.294,55.6,15.5,73.1,0.269
"07/05/2021, 13:07:56",Boston Celtics,55.3,12.8,28.8,0.214,54.6,12.4,76.0,0.308
"07/05/2021, 13:07:56",Los Angeles Clippers,55.2,15.1,26.7,0.210,53.4,13.1,74.4,0.216
"07/05/2021, 13:07:56",New Orleans Pelicans,49.6,13.8,29.5,0.289,53.8,14.2,74.3,0.221
"07/05/2021, 13:07:56",Charlotte Hornets,50.3,13.3,30.2,0.245,55.0,13.7,72.2,0.236
"07/05/2021, 13:07:56",Houston Rockets,54.9,14.8,25.2,0.253,60.2,13.0,75.2,0.254
"07/05/2021, 13:07:56",Orlando Magic,46.6,13.6,26.2,0.290,53.1,10.5,71.5,0.228
"07/05/2021, 13:07:56",San Antonio Spurs,50.4,11.1,26.1,0.214,57.5,11.7,74.7,0.214
"07/05/2021, 13:07:56",Cleveland Cavaliers,49.1,16.5,29.7,0.311,57.2,10.3,74.1,0.215
"07/05/2021, 13:07:56",Detroit Pistons,52.5,15.7,23.1,0.255,54.1,12.2,73.0,0.237
"07/05/2021, 13:07:56",Oklahoma City Thunder,47.0,14.5,27.8,0.240,58.2,12.7,75.3,0.220
"07/05/2021, 13:07:56",Toronto Raptors,50.9,12.4,25.8,0.224,56.3,15.5,71.9,0.271
